src_port,dst_port,packet_length,protocol_encoded,src_ip_present,dst_ip_present,label_encoded
41418,53,70,3,1,1,0
41418,53,70,3,1,1,0
53,41418,86,3,1,1,0
53,41418,182,3,1,1,0
0,0,98,1,1,1,0
0,0,98,1,1,1,0
56039,53,87,3,1,1,0
53,56039,127,3,1,1,0
0,0,98,1,1,1,0
0,0,98,1,1,1,0
0,0,42,0,0,0,1
0,0,42,0,0,0,1
0,0,64,0,0,0,1
0,0,42,0,0,0,1
0,0,64,0,0,0,1
0,0,42,0,0,0,1
0,0,42,0,0,0,1
0,0,42,0,0,0,1
0,0,42,0,0,0,1
0,0,42,0,0,0,1
0,0,42,0,0,0,1
0,0,64,0,0,0,1
0,0,42,1,1,1,1
51467,443,58,2,1,1,1
51467,80,54,2,1,1,1
0,0,54,1,1,1,1
80,51467,60,2,1,1,1
0,0,86,0,0,0,1
0,0,86,0,0,0,1
0,0,107,0,0,0,1
